any_selected_count,attack,attack_state,audit_truth,backup_selected_count,below_threshold,group,oracle,period,primary_selected_count,reputation
13,ME,malicious,0.02857142857142857,0,True,attacked,29,24,13,0.0
47,ME,reference,0.20754716981132076,47,True,trusted_reference,3,24,0,0.0
0,ME,reference,0.45614035087719296,0,True,trusted_reference,14,24,0,0.30985934498813084
13,ME,reference,0.3953488372093023,13,True,trusted_reference,24,24,0,0.41747554747820187
13,ME,malicious,0.02666666666666667,0,True,attacked,4,25,13,0.0
22,ME,malicious,0.058823529411764705,0,True,attacked,19,25,22,0.0
25,ME,malicious,0.027972027972027972,0,True,attacked,29,25,25,0.0
13,ME,reference,0.2037037037037037,13,True,trusted_reference,3,25,0,0.010342722994976628
22,ME,reference,0.4745762711864407,22,True,trusted_reference,14,25,0,0.37819279139077205
25,ME,reference,0.4090909090909091,25,True,trusted_reference,24,25,0,0.44528497602280553
25,ME,malicious,0.02586206896551724,0,True,attacked,4,26,25,0.0
9,ME,malicious,0.058823529411764705,0,True,attacked,19,26,9,0.0
26,ME,malicious,0.026143790849673203,0,True,attacked,29,26,26,0.0
25,ME,reference,0.2037037037037037,25,True,trusted_reference,3,26,0,0.05583101518502212
9,ME,reference,0.4745762711864407,9,True,trusted_reference,14,26,0,0.4182503678161631
26,ME,reference,0.3877551020408163,26,True,trusted_reference,24,26,0,0.14681764227444882
4,ME,malicious,0.025423728813559324,0,True,attacked,4,27,4,0.0
55,ME,malicious,0.041379310344827586,0,True,attacked,19,27,55,0.0
1,ME,malicious,0.026143790849673203,0,True,attacked,29,27,1,0.0
4,ME,reference,0.21818181818181817,4,True,trusted_reference,3,27,0,0.15880948026894365
55,ME,reference,0.46153846153846156,55,True,trusted_reference,14,27,0,0.19423528991319372
1,ME,reference,0.3838383838383838,1,True,trusted_reference,24,27,0,0.19445022047205562
0,ME,malicious,0.025423728813559324,0,True,attacked,4,28,0,0.0
60,ME,malicious,0.03333333333333333,0,True,attacked,19,28,60,0.0
0,ME,malicious,0.026143790849673203,0,True,attacked,29,28,0,0.0
0,ME,reference,0.21818181818181817,0,True,trusted_reference,3,28,0,0.23598464533178234
60,ME,reference,0.379746835443038,60,True,trusted_reference,14,28,0,0.05454984094466783
0,ME,reference,0.3838383838383838,0,True,trusted_reference,24,28,0,0.23662594136464052
0,ME,malicious,0.025423728813559324,0,True,attacked,4,29,0,0.01634960338983049
60,ME,malicious,0.028037383177570093,0,True,attacked,19,29,60,0.0
0,ME,malicious,0.026143790849673203,0,True,attacked,29,29,0,0.024145729411764683
0,ME,reference,0.21818181818181817,0,True,trusted_reference,3,29,0,0.27088047621257333
60,ME,reference,0.3409090909090909,60,True,trusted_reference,14,29,0,0.06105834557777669
0,ME,reference,0.3838383838383838,0,True,trusted_reference,24,29,0,0.2863320446020072
11,ME,malicious,0.025423728813559324,0,True,attacked,4,30,11,0.0
9,ME,malicious,0.026905829596412557,0,True,attacked,19,30,9,0.0
40,ME,malicious,0.026143790849673203,0,True,attacked,29,30,40,0.0
11,ME,reference,0.21818181818181817,11,True,trusted_reference,3,30,0,0.291085279498007
9,ME,reference,0.3409090909090909,9,True,trusted_reference,14,30,0,0.19277331660583785
40,ME,reference,0.41904761904761906,40,True,trusted_reference,24,30,0,0.38056455471155154
20,ME,malicious,0.02459016393442623,0,True,attacked,4,31,20,0.0
30,ME,malicious,0.025,0,True,attacked,19,31,30,0.0
10,ME,malicious,0.02564102564102564,0,True,attacked,29,31,10,0.03330979132437586
20,ME,reference,0.22413793103448276,20,True,trusted_reference,3,31,0,0.2013659495585925
30,ME,reference,0.3655913978494624,30,True,trusted_reference,14,31,0,0.24827691734220325
10,ME,reference,0.42990654205607476,10,False,trusted_reference,24,31,0,0.46917601827416877
4,ME,malicious,0.02459016393442623,0,True,attacked,4,32,4,0.0
54,ME,malicious,0.023255813953488372,0,True,attacked,19,32,54,0.0
2,ME,malicious,0.02564102564102564,2,True,attacked,29,32,0,0.01854695565900343
4,ME,reference,0.22033898305084745,4,True,trusted_reference,3,32,0,0.24616628569345794
54,ME,reference,0.33663366336633666,54,True,trusted_reference,14,32,0,0.04409316831683169
2,ME,reference,0.42990654205607476,0,False,trusted_reference,24,32,2,0.4962023237206978
32,ME,malicious,0.023715415019762844,0,True,attacked,4,33,32,0.0
3,ME,malicious,0.023255813953488372,0,True,attacked,19,33,3,0.0
25,ME,malicious,0.023809523809523808,11,True,attacked,29,33,14,0.0
32,ME,reference,0.2222222222222222,32,True,trusted_reference,3,33,0,0.0
3,ME,reference,0.33663366336633666,3,True,trusted_reference,14,33,0,0.16281167227722776
25,ME,reference,0.4107142857142857,14,True,trusted_reference,24,33,11,0.4079182737662957
60,ME,malicious,0.02097902097902098,0,True,attacked,4,34,60,0.0
0,ME,malicious,0.023255813953488372,0,True,attacked,19,34,0,0.0
0,ME,malicious,0.023809523809523808,0,True,attacked,29,34,0,0.0
60,ME,reference,0.2,60,True,trusted_reference,3,34,0,0.0
0,ME,reference,0.33663366336633666,0,True,trusted_reference,14,34,0,0.20592373921782173
0,ME,reference,0.4107142857142857,0,True,trusted_reference,24,34,0,0.4224692398597706
29,ME,malicious,0.020066889632107024,0,True,attacked,4,35,29,0.0
0,ME,malicious,0.023255813953488372,0,True,attacked,19,35,0,0.024827288372093026
31,ME,malicious,0.02127659574468085,0,True,attacked,29,35,31,0.0
29,ME,reference,0.1910828025477707,29,True,trusted_reference,3,35,0,0.0
0,ME,reference,0.33663366336633666,0,True,trusted_reference,14,35,0,0.25608865201871284
31,ME,reference,0.42105263157894735,31,True,trusted_reference,24,35,0,0.4456541944055924
2,ME,malicious,0.020066889632107024,0,True,attacked,4,36,2,0.0
35,ME,malicious,0.021352313167259787,0,True,attacked,19,36,35,0.0
23,ME,malicious,0.02,0,True,attacked,29,36,23,0.0
2,ME,reference,0.1910828025477707,2,True,trusted_reference,3,36,0,0.06762222929936304
35,ME,reference,0.3364485981308411,35,True,trusted_reference,14,36,0,0.2809253475238581
23,ME,reference,0.423728813559322,23,True,trusted_reference,24,36,0,0.4156975133318892
5,ME,malicious,0.019736842105263157,0,True,attacked,4,37,5,0.0
13,ME,malicious,0.02097902097902098,0,True,attacked,19,37,13,0.0
42,ME,malicious,0.017316017316017316,0,True,attacked,29,37,42,0.0
5,ME,reference,0.1910828025477707,5,True,trusted_reference,3,37,0,0.16959394968152863
13,ME,reference,0.3364485981308411,13,True,trusted_reference,14,37,0,0.3661700955142735
42,ME,reference,0.4262295081967213,42,True,trusted_reference,24,37,0,0.41434481084251695
1,ME,malicious,0.019736842105263157,0,True,attacked,4,38,1,0.0
48,ME,malicious,0.02027027027027027,0,True,attacked,19,38,48,0.0
11,ME,malicious,0.016597510373443983,0,True,attacked,29,38,11,0.0
1,ME,reference,0.1910828025477707,1,True,trusted_reference,3,38,0,0.22060009266878977
48,ME,reference,0.3486238532110092,48,True,trusted_reference,14,38,0,0.3896284787896402
11,ME,reference,0.42276422764227645,11,True,trusted_reference,24,38,0,0.44403220647470704
1,ME,malicious,0.019736842105263157,0,True,attacked,4,39,1,0.0
31,ME,malicious,0.0196078431372549,0,True,attacked,19,39,31,0.0
28,ME,malicious,0.015748031496062992,0,True,attacked,29,39,28,0.0
1,ME,reference,0.1910828025477707,1,True,trusted_reference,3,39,0,0.27463310273254765
31,ME,reference,0.35,31,True,trusted_reference,14,39,0,0.12485267295394699
28,ME,reference,0.4375,28,False,trusted_reference,24,39,0,0.4526432368364387
41,ME,malicious,0.01892744479495268,0,True,attacked,4,40,41,0.0
19,ME,malicious,0.018292682926829267,0,True,attacked,19,40,19,0.0
0,ME,malicious,0.015748031496062992,0,True,attacked,29,40,0,0.0
41,ME,reference,0.1927710843373494,41,True,trusted_reference,3,40,0,0.0
19,ME,reference,0.34146341463414637,19,True,trusted_reference,14,40,0,0.08544615121084867
0,ME,reference,0.4375,0,False,trusted_reference,24,40,0,0.45410768604985496
39,ME,malicious,0.017964071856287425,0,True,attacked,4,41,39,0.0
21,ME,malicious,0.017391304347826087,0,True,attacked,19,41,21,0.0
0,ME,malicious,0.015748031496062992,0,True,attacked,29,41,0,0.0
39,ME,reference,0.1797752808988764,39,True,trusted_reference,3,41,0,0.0
21,ME,reference,0.3387096774193548,21,True,trusted_reference,14,41,0,0.14406638129341506
0,ME,reference,0.4375,0,False,trusted_reference,24,41,0,0.454825266164429
60,ME,malicious,0.017191977077363897,0,True,attacked,4,42,60,0.0
