attack,attack_any_count,attack_any_rate,attack_backup_count,attack_below_threshold_count,attack_mean_reputation,attack_primary_count,attack_primary_rate,attack_state,mode_count_parallel_fast,mode_count_serial_safe,mode_count_single_safe,mode_rate_parallel_fast,mode_rate_serial_safe,mode_rate_single_safe,period,requests,trusted_any_count,trusted_any_rate,trusted_below_threshold_count,trusted_mean_reputation,trusted_primary_count,trusted_primary_rate
ME,52,0.8666666666666667,0,3,0.0,52,0.8666666666666667,malicious,24,36,,0.4,0.6,,12,60,60,1.0,2,0.2364025594278607,0,0.0
ME,44,0.7333333333333333,0,3,0.012691949685534597,44,0.7333333333333333,malicious,18,42,,0.3,0.7,,13,60,60,1.0,2,0.23572327323480138,16,0.26666666666666666
ME,60,1.0,0,3,0.03591450188679245,60,1.0,malicious,33,27,,0.55,0.45,,14,60,60,1.0,2,0.2372708414193865,0,0.0
ME,52,0.8666666666666667,0,3,0.0569735524654088,52,0.8666666666666667,malicious,28,32,,0.4666666666666667,0.5333333333333333,,15,60,60,1.0,2,0.21199064116027314,8,0.13333333333333333
ME,51,0.85,0,3,0.0,51,0.85,malicious,26,34,,0.43333333333333335,0.5666666666666667,,16,60,60,1.0,3,0.10029805060376555,9,0.15
ME,60,1.0,0,3,0.0,60,1.0,malicious,21,39,,0.35,0.65,,17,60,60,1.0,3,0.17248826630351152,0,0.0
ME,60,1.0,0,3,0.0,60,1.0,malicious,29,31,,0.48333333333333334,0.5166666666666667,,18,60,60,1.0,3,0.18980707942998398,0,0.0
ME,60,1.0,0,3,0.017189322388059692,60,1.0,malicious,25,35,,0.4166666666666667,0.5833333333333334,,19,60,60,1.0,3,0.2357228363685707,0,0.0
ME,60,1.0,0,3,0.036707922199004955,60,1.0,malicious,32,28,,0.5333333333333333,0.4666666666666667,,20,60,60,1.0,3,0.19171239226443762,0,0.0
ME,60,1.0,0,3,0.0,60,1.0,malicious,29,31,,0.48333333333333334,0.5166666666666667,,21,60,60,1.0,2,0.23312928727671922,0,0.0
ME,56,0.9333333333333333,0,3,0.0,56,0.9333333333333333,malicious,27,33,,0.45,0.55,,22,60,60,1.0,2,0.2836524859938439,4,0.06666666666666667
ME,59,0.9833333333333333,0,3,0.0,59,0.9833333333333333,malicious,34,26,,0.5666666666666667,0.43333333333333335,,23,60,60,1.0,3,0.21737436543601021,1,0.016666666666666666
ME,60,1.0,0,3,0.0,60,1.0,malicious,23,37,,0.38333333333333336,0.6166666666666667,,24,60,60,1.0,3,0.24244496415544425,0,0.0
ME,60,1.0,0,3,0.0,60,1.0,malicious,23,37,,0.38333333333333336,0.6166666666666667,,25,60,60,1.0,3,0.27794016346951805,0,0.0
